n,D,A_r,A_B,A_F,α,β,f_c,f_y
3,50,78.53981634,1651,83723.02755,1,0,25.97,406.4
3,50,78.53981634,1651,83723.02755,1,0,25.97,406.4
3,50,78.53981634,1651,83723.02755,1,0,26.85,406.4
3,50,78.53981634,1651,83723.02755,1,0,26.85,406.4
2,50,0,1651,55900.01837,1,0,27.52,406.4
2,50,0,1651,87650.01837,1,0,27.52,406.4
2,50,0,1651,55900.01837,1,0,27.52,406.4
2,50,0,1651,87396.01837,1,0,27.52,406.4
2,50,0,1651,55900.01837,1,0,26.28,406.4
2,50,78.53981634,1651,55900.01837,1,0,26.28,406.4
3,50,0,1651,83723.02755,1,0,26.28,406.4
3,50,78.53981634,1651,83723.02755,1,0,26.28,406.4
1,19,78.53981634,137.5,9432.942526,0,1,27.9,400
1,19,78.53981634,137.5,9432.942526,0,1,27.9,400
1,19,0,137.5,9432.942526,0,1,27.9,400
4,60,201.0619298,1200,47380.53289,1,0,141.0946197,400
4,60,201.0619298,1200,47380.53289,1,0,141.0946197,400
4,60,201.0619298,1200,47380.53289,1,0,141.0946197,400
4,60,1256.637061,1200,47380.53289,1,0,141.0946197,400
4,60,1256.637061,1200,47380.53289,1,0,141.0946197,400
4,60,1256.637061,1200,47380.53289,1,0,141.0946197,400
4,60,1963.495408,1200,47380.53289,1,0,141.0946197,400
4,60,1963.495408,1200,47380.53289,1,0,141.0946197,400
1,50,113.0973355,3840,72873.00918,0,1,31.6,431
1,60,314.1592654,3000,69345.13322,0,0,43.2,331.8
1,60,314.1592654,3000,69345.13322,0,0,43.2,331.8
1,60,314.1592654,3000,69345.13322,0,0,57.4,331.8
1,50,314.1592654,3000,71073.00918,0,0,60.2471,382
1,50,314.1592654,3000,71073.00918,0,0,60.2471,382
1,50,314.1592654,3000,71073.00918,0,0,60.2471,382
1,60,314.1592654,3000,69345.13322,0,0,60.2471,382
1,60,314.1592654,3000,69345.13322,0,0,60.2471,382
1,60,314.1592654,3000,69345.13322,0,0,60.2471,382
1,75,314.1592654,3000,66164.27066,0,0,60.2471,382
1,75,314.1592654,3000,66164.27066,0,0,60.2471,382
1,75,314.1592654,3000,66164.27066,0,0,60.2471,382
1,50,314.1592654,3000,71073.00918,0,0,34.6,373.6
1,60,314.1592654,3000,69345.13322,0,0,34.6,373.6
1,75,314.1592654,3000,66164.27066,0,0,34.6,373.6
1,50,314.1592654,3000,71073.00918,0,0,56.2,381.7
1,60,314.1592654,3000,69345.13322,0,0,56.2,381.7
1,75,314.1592654,3000,66164.27066,0,0,56.2,381.7
1,60,201.0619298,3000,69345.13322,0,0,34.6,373.6
1,60,490.8738521,3000,69345.13322,0,0,34.6,373.6
1,60,314.1592654,3000,69345.13322,0,0,56.2,480
1,60,314.1592654,3000,69345.13322,0,0,34.6,373.6
1,60,314.1592654,3000,69345.13322,0,0,34.6,373.6
1,60,314.1592654,3000,69345.13322,0,0,34.6,373.6
1,65,314.1592654,3360,98363.38552,0,0,34.6,373.6
1,65,314.1592654,4620,98363.38552,0,0,34.6,373.6
1,60,314.1592654,3000,69345.13322,0,0,34.6,373.6
1,75,314.1592654,3000,66164.27066,0,0,50.7,335
1,50,314.1592654,2000,46073.00918,0,0,43.7,336
1,50,314.1592654,2000,46073.00918,0,0,43.7,337
1,50,314.1592654,2000,46073.00918,0,0,43.7,338
1,50,0,2000,46073.00918,0,0,43.7,339
1,40,113.0973355,1200,77486.72588,1,1,50.8,400
2,40,226.1946711,1200,74973.45175,1,1,50.8,400
3,40,339.2920066,1200,72460.17763,1,1,50.8,400
1,40,201.0619298,1200,77486.72588,1,1,50.8,400
2,40,402.1238597,1200,74973.45175,1,1,50.8,400
3,40,603.1857895,1200,72460.17763,1,1,50.8,400
1,40,314.1592654,1200,77486.72588,1,1,50.8,400
2,40,628.3185307,1200,74973.45175,1,1,50.8,400
3,40,942.4777961,1200,72460.17763,1,1,50.8,400
1,40,113.0973355,1200,77486.72588,1,1,112.6,400
2,40,226.1946711,1200,74973.45175,1,1,112.6,400
3,40,339.2920066,1200,72460.17763,1,1,112.6,400
1,40,201.0619298,1200,77486.72588,1,1,112.6,400
2,40,402.1238597,1200,74973.45175,1,1,112.6,400
3,40,603.1857895,1200,72460.17763,1,1,112.6,400
1,40,314.1592654,1200,77486.72588,1,1,112.6,400
2,40,628.3185307,1200,74973.45175,1,1,112.6,400
3,40,942.4777961,1200,72460.17763,1,1,112.6,400
